Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,80.043,80.986,79.185,80.071,973900,0.0,0.0
2017-01-04,80.186,81.548,79.938,81.491,1092100,0.0,0.0
2017-01-05,81.215,81.758,79.938,79.938,540400,0.0,0.0
2017-01-06,79.976,81.234,79.652,80.586,394000,0.0,0.0
2017-01-09,80.586,80.9,79.871,80.109,373900,0.0,0.0
2017-01-10,80.795,81.949,80.252,81.301,509400,0.0,0.0
2017-01-11,81.291,81.539,80.529,81.281,448000,0.0,0.0
2017-01-12,81.158,81.158,79.823,81.034,499000,0.0,0.0
2017-01-13,81.301,82.358,81.158,81.882,593800,0.0,0.0
2017-01-17,81.882,83.064,81.729,82.673,744800,0.0,0.0
2017-01-18,82.94,83.435,82.311,83.14,850600,0.0,0.0
2017-01-19,83.769,84.017,82.349,82.835,876100,0.0,0.0
2017-01-20,82.816,83.073,81.701,82.111,598000,0.0,0.0
2017-01-23,82.092,82.092,80.538,80.672,678600,0.0,0.0
2017-01-24,80.977,82.511,80.967,82.339,737800,0.0,0.0
2017-01-25,82.578,84.531,82.33,84.102,795700,0.0,0.0
2017-01-26,84.055,84.56,82.949,83.035,554100,0.0,0.0
2017-01-27,83.178,84.007,82.987,83.893,382000,0.0,0.0
2017-01-30,83.473,83.626,81.682,82.644,691300,0.0,0.0
2017-01-31,82.597,82.882,82.006,82.568,731700,0.0,0.0
2017-02-01,83.111,83.721,82.339,82.701,594300,0.0,0.0
2017-02-02,82.52,82.902,81.977,82.015,468700,0.0,0.0
2017-02-03,82.501,83.807,82.139,83.464,455000,0.0,0.0
2017-02-06,83.006,83.359,82.253,82.568,552300,0.0,0.0
2017-02-07,82.854,83.75,82.168,82.263,456100,0.0,0.0
2017-02-08,82.082,82.082,80.469,81.404,717100,0.1,0.0
2017-02-09,81.796,82.549,81.662,82.244,785200,0.0,0.0
2017-02-10,82.826,83.389,82.12,83.293,407900,0.0,0.0
2017-02-13,83.427,84.219,83.37,83.637,631900,0.0,0.0
2017-02-14,83.246,83.389,82.54,82.769,549400,0.0,0.0
2017-02-15,82.769,84.553,82.482,84.419,530800,0.0,0.0
2017-02-16,84.62,84.791,83.551,84.009,475000,0.0,0.0
2017-02-17,83.513,84.629,82.263,83.742,447700,0.0,0.0
2017-02-21,78.008,80.097,77.187,78.914,2813400,0.0,0.0
2017-02-22,77.588,78.494,76.195,76.491,1640500,0.0,0.0
2017-02-23,76.462,77.12,74.22,74.592,1267700,0.0,0.0
2017-02-24,73.81,75.813,73.609,75.804,983100,0.0,0.0
2017-02-27,75.995,77.359,75.995,77.216,937300,0.0,0.0
2017-02-28,76.996,77.817,76.414,76.443,1281500,0.0,0.0
2017-03-01,76.233,79.487,75.05,77.617,1423100,0.0,0.0
2017-03-02,77.197,77.378,76.252,76.367,1509600,0.0,0.0
2017-03-03,76.338,76.891,75.489,76.224,1215500,0.0,0.0
2017-03-06,75.355,76.548,75.355,76.29,1007600,0.0,0.0
2017-03-07,76.233,76.72,75.699,75.851,864400,0.0,0.0
2017-03-08,75.985,76.204,75.413,75.584,768200,0.0,0.0
2017-03-09,75.413,75.766,74.287,74.869,886500,0.0,0.0
2017-03-10,75.727,75.727,73.543,73.991,1286700,0.0,0.0
2017-03-13,74.086,74.831,73.743,74.678,917000,0.0,0.0
2017-03-14,74.058,74.401,73.075,73.8,747000,0.0,0.0
2017-03-15,74.134,74.373,73.352,73.991,878100,0.0,0.0
2017-03-16,74.583,74.583,73.228,73.676,865400,0.0,0.0
2017-03-17,73.772,74.105,73.333,73.781,901000,0.0,0.0
2017-03-20,73.638,74.058,72.932,73.724,633000,0.0,0.0
2017-03-21,74.048,74.449,72.503,72.646,1156900,0.0,0.0
2017-03-22,72.56,72.741,71.816,72.598,733600,0.0,0.0
2017-03-23,72.732,73.027,72.016,72.483,578900,0.0,0.0
