Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,79.292,79.92,78.383,79.529,2703500,0.0,0.0
2017-01-04,79.756,82.257,79.756,82.093,2598800,0.0,0.0
2017-01-05,82.566,83.957,82.421,83.148,2507500,0.0,0.0
2017-01-06,82.821,84.23,82.575,84.048,1858400,0.0,0.0
2017-01-09,85.367,86.385,84.221,84.339,2776200,0.0,0.0
2017-01-10,85.176,86.813,84.894,86.231,3055400,0.0,0.0
2017-01-11,85.767,86.167,83.684,84.503,2207300,0.0,0.0
2017-01-12,84.23,84.385,82.039,83.603,1904000,0.0,0.0
2017-01-13,84.112,84.112,82.293,82.321,1527100,0.0,0.0
2017-01-17,82.293,84.748,81.475,83.966,2008600,0.0,0.0
2017-01-18,84.457,84.457,83.066,83.639,1202400,0.0,0.0
2017-01-19,83.512,83.975,82.302,82.684,1143500,0.0,0.0
2017-01-20,83.03,83.848,82.548,82.584,955200,0.0,0.0
2017-01-23,82.648,85.139,82.648,84.239,2322600,0.0,0.0
2017-01-24,84.448,85.876,84.121,85.503,1775800,0.0,0.0
2017-01-25,86.021,88.422,86.021,87.676,2865800,0.0,0.0
2017-01-26,87.294,90.341,86.567,86.84,5216100,0.0,0.0
2017-01-27,92.75,94.614,91.841,93.732,7967400,0.0,0.0
2017-01-30,93.405,94.924,92.841,93.25,2483400,0.0,0.0
2017-01-31,92.887,93.16,91.741,92.232,1827500,0.0,0.0
2017-02-01,90.532,91.014,88.904,88.986,3025400,0.0,0.0
2017-02-02,88.504,89.186,87.804,88.549,1698700,0.0,0.0
2017-02-03,88.822,89.568,87.931,88.131,1888800,0.0,0.0
2017-02-06,89.34,90.295,87.285,88.222,2828800,0.0,0.0
2017-02-07,88.086,88.467,87.776,88.213,1903100,0.0,0.0
2017-02-08,88.186,88.413,87.595,88.367,1061000,0.0,0.0
2017-02-09,88.713,90.177,88.477,89.913,1764300,0.0,0.0
2017-02-10,90.507,91.577,90.041,90.389,2314900,0.5,0.0
2017-02-13,90.37,90.864,89.758,90.453,1621200,0.0,0.0
2017-02-14,91.86,91.997,89.2,89.274,1876200,0.0,0.0
2017-02-15,89.054,91.659,88.57,91.202,1924900,0.0,0.0
2017-02-16,91.019,91.028,88.259,88.396,2813000,0.0,0.0
2017-02-17,87.93,88.049,86.842,87.656,1988600,0.0,0.0
2017-02-21,87.921,88.085,86.87,87.711,1551000,0.0,0.0
2017-02-22,87.638,87.711,86.194,86.596,1975100,0.0,0.0
2017-02-23,86.97,87.08,85.545,85.764,2079400,0.0,0.0
2017-02-24,85.225,85.965,84.695,85.919,1935300,0.0,0.0
2017-02-27,86.312,87.957,86.166,87.29,1694400,0.0,0.0
2017-02-28,87.025,89.338,86.651,87.875,2094100,0.0,0.0
2017-03-01,91.302,94.785,91.047,93.871,6088500,0.0,0.0
2017-03-02,93.834,93.834,91.156,91.531,2754100,0.0,0.0
2017-03-03,91.412,92.783,90.553,92.344,1782100,0.0,0.0
2017-03-06,92.107,92.436,90.955,91.732,1206000,0.0,0.0
2017-03-07,91.193,91.549,89.794,90.9,2462400,0.0,0.0
2017-03-08,90.827,91.677,90.261,90.69,1204700,0.0,0.0
